Sent At,Direction
"6/1/20, 3:59 AM",OUTGOING
"6/1/20, 3:59 AM",OUTGOING
"6/1/20, 3:59 AM",OUTGOING
"6/1/20, 3:59 AM",OUTGOING
"6/1/20, 3:59 AM",OUTGOING
"5/31/20, 2:19 PM",OUTGOING
"5/31/20, 4:39 AM",OUTGOING
"5/31/20, 4:39 AM",OUTGOING
"5/31/20, 4:38 AM",OUTGOING
"5/30/20, 4:54 PM",OUTGOING
"5/30/20, 11:20 AM",OUTGOING
"5/30/20, 11:19 AM",OUTGOING
"5/30/20, 11:20 AM",OUTGOING
"5/30/20, 11:19 AM",OUTGOING
"5/30/20, 11:19 AM",OUTGOING
"5/29/20, 1:41 PM",OUTGOING
"5/29/20, 1:11 PM",OUTGOING
"5/29/20, 1:06 PM",OUTGOING
"5/29/20, 1:06 PM",OUTGOING
"5/29/20, 1:51 AM",OUTGOING
"5/27/20, 6:37 AM",OUTGOING
"5/26/20, 1:14 PM",OUTGOING
"5/26/20, 8:39 AM",OUTGOING
"5/26/20, 8:39 AM",OUTGOING
"5/26/20, 8:39 AM",OUTGOING
"5/26/20, 8:39 AM",OUTGOING
"5/26/20, 8:38 AM",OUTGOING
"5/26/20, 6:23 AM",OUTGOING
"5/26/20, 6:13 AM",OUTGOING
"5/26/20, 5:58 AM",OUTGOING
"5/26/20, 5:57 AM",OUTGOING
"5/25/20, 10:44 PM",OUTGOING
"5/25/20, 10:44 PM",OUTGOING
"5/25/20, 11:21 AM",OUTGOING
"5/25/20, 12:23 AM",OUTGOING
"5/24/20, 4:21 AM",OUTGOING
"5/21/20, 10:44 PM",OUTGOING
"5/21/20, 10:36 PM",OUTGOING
"5/21/20, 4:47 AM",OUTGOING
"5/21/20, 4:42 AM",OUTGOING
"5/19/20, 9:46 PM",OUTGOING
"5/19/20, 9:45 PM",OUTGOING
"5/19/20, 5:21 AM",OUTGOING
"5/19/20, 5:18 AM",OUTGOING
"5/19/20, 12:27 AM",OUTGOING
"5/19/20, 12:27 AM",OUTGOING
"5/18/20, 8:39 PM",OUTGOING
"5/18/20, 8:27 PM",OUTGOING
"5/18/20, 8:19 PM",OUTGOING
"5/18/20, 8:19 PM",OUTGOING
"5/18/20, 8:19 PM",OUTGOING
"5/18/20, 8:11 PM",OUTGOING
"5/18/20, 8:10 PM",OUTGOING
"5/18/20, 8:10 PM",OUTGOING
"5/18/20, 8:07 PM",OUTGOING
"5/18/20, 8:06 PM",OUTGOING
"5/18/20, 8:06 PM",OUTGOING
"5/18/20, 8:06 PM",OUTGOING
"5/18/20, 6:53 PM",OUTGOING
"5/18/20, 1:20 AM",OUTGOING
"5/17/20, 8:22 PM",OUTGOING
"5/17/20, 8:20 PM",OUTGOING
"5/15/20, 7:43 PM",OUTGOING
"5/15/20, 7:38 PM",OUTGOING
"5/15/20, 7:38 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:37 PM",OUTGOING
"5/15/20, 7:32 PM",OUTGOING
"5/15/20, 7:32 PM",OUTGOING
"5/15/20, 7:24 PM",OUTGOING
"5/15/20, 7:23 PM",OUTGOING
"5/15/20, 3:04 PM",OUTGOING
"5/15/20, 8:56 AM",OUTGOING
"5/13/20, 9:49 AM",OUTGOING
"5/13/20, 9:46 AM",OUTGOING
"5/13/20, 9:46 AM",OUTGOING
"5/13/20, 9:46 AM",OUTGOING
"5/13/20, 9:46 AM",OUTGOING
"5/13/20, 9:45 AM",OUTGOING
"5/13/20, 9:45 AM",OUTGOING
"5/13/20, 9:44 AM",OUTGOING
"5/12/20, 9:58 AM",OUTGOING
"5/12/20, 9:58 AM",OUTGOING
"5/12/20, 9:57 AM",OUTGOING
"5/12/20, 9:58 AM",OUTGOING
"5/12/20, 9:56 AM",OUTGOING
"5/12/20, 9:54 AM",OUTGOING
"5/12/20, 9:50 AM",OUTGOING
"5/12/20, 9:50 AM",OUTGOING
"5/11/20, 9:34 AM",OUTGOING
"5/11/20, 9:26 AM",OUTGOING
"5/10/20, 12:06 PM",OUTGOING
"5/10/20, 12:03 AM",OUTGOING
"5/9/20, 11:55 PM",OUTGOING
"5/9/20, 9:32 PM",OUTGOING
"5/9/20, 9:32 PM",OUTGOING
"5/9/20, 9:32 PM",OUTGOING
"5/9/20, 9:32 PM",OUTGOING
"5/9/20, 9:32 PM",OUTGOING
"5/9/20, 9:31 PM",OUTGOING
"5/9/20, 8:15 PM",OUTGOING
"5/9/20, 8:15 PM",OUTGOING
"5/8/20, 4:58 PM",OUTGOING
"5/8/20, 10:21 AM",OUTGOING
"5/8/20, 10:20 AM",OUTGOING
"5/8/20, 9:27 AM",OUTGOING
"5/7/20, 5:47 PM",OUTGOING
"5/7/20, 5:46 PM",OUTGOING
"5/7/20, 8:48 AM",OUTGOING
"5/7/20, 6:19 AM",OUTGOING
"5/7/20, 6:18 AM",OUTGOING
"5/7/20, 5:36 AM",OUTGOING
"5/7/20, 2:46 AM",OUTGOING
"5/7/20, 2:46 AM",OUTGOING
"5/7/20, 12:02 AM",OUTGOING
"5/6/20, 11:55 PM",OUTGOING
"5/6/20, 11:41 PM",OUTGOING
"5/6/20, 2:34 PM",OUTGOING
"5/6/20, 2:34 PM",OUTGOING
"5/6/20, 2:34 PM",OUTGOING
"5/6/20, 2:33 PM",OUTGOING
"5/6/20, 11:22 AM",OUTGOING
"5/6/20, 11:21 AM",OUTGOING
"5/6/20, 11:20 AM",OUTGOING
"5/6/20, 11:20 AM",OUTGOING
"5/6/20, 3:20 AM",OUTGOING
"5/4/20, 10:59 AM",OUTGOING
